text,file_name
"a graph showing the number of different taxes per business in the us",downloaded_image_t11.jpg
"there are four toy vehicles that are sitting on a table",downloaded_image_t12.jpg
"a table with a number of different teams and numbers",downloaded_image_t13.jpg
"a table with a number of players and their score",downloaded_image_t14.jpg
"a circle with a line that is drawn in the middle of it",downloaded_image_t15.jpg
"a table with a number of students receiving scholarships in the year",downloaded_image_t16.jpg
"a close up of a bar chart with different types of items",downloaded_image_t17.jpg
"a table with a number of entries and a table number of entries",downloaded_image_t18.jpg
"a diagram of a bar chart with the most preferred objects of different categoriess",downloaded_image_t19.jpg
"a close up of a digital clock with the time on the display",downloaded_image_t110.jpg
"a diagram of a sphere with a volume of",downloaded_image_t111.jpg
"a diagram of a square with",downloaded_image_t113.jpg
"a map of the united states with the most people in each state",downloaded_image_t114.jpg
"a triangle with three sides and three sides that are congructed",downloaded_image_t115.jpg
"a table with a pie and a pies baked number of pies",downloaded_image_t117.jpg
"a green and white image of a number of green squares",downloaded_image_t118.jpg
"a close up of a clock with a pink and white face",downloaded_image_t120.jpg
"a graphing function of a line with a slope and a point on it",downloaded_image_t121.jpg
"there are a few small toys that are on a table",downloaded_image_t122.jpg
"a diagram of a wave with a point at the center and a point at the bottom",downloaded_image_t124.jpg
"a diagram of a square with",downloaded_image_t125.jpg
"two men in suits shaking hands in a room with a painting",downloaded_image_t127.jpg
"a close up of a snowflake pattern on a white background",downloaded_image_t128.jpg
"there are several different colored objects on a white surface",downloaded_image_t129.jpg
"a chart of the number of preferred objects in a computer",downloaded_image_t130.jpg
"cartoon of a woman and a man standing next to a pond",downloaded_image_t131.jpg
"a close up of a graph with a line going up and a line going down",downloaded_image_t133.jpg
"a graph showing the number of child - related children in primary school in the country",downloaded_image_t134.jpg
"a triangle with a side of a triangle and a side of a triangle",downloaded_image_t135.jpg
"a diagram of a graph with a line of orange and blue",downloaded_image_t136.jpg
"a close up of a number of cubes with a number of smaller ones",downloaded_image_t137.jpg
"a picture of a picture of a fruit and vegetable addition",downloaded_image_t138.jpg
"a rectangular is shown with the perimeter of the trapoid above",downloaded_image_t139.jpg
"a table with a number of hockey games on it",downloaded_image_t142.jpg
"there are three balls and two cubes on a table",downloaded_image_t143.jpg
"a close up of a ruler with a green leaf on it",downloaded_image_t144.jpg
"a bar chart showing the number of people who are using the internet",downloaded_image_t145.jpg
"there are a lot of toy cars and a toy airplane",downloaded_image_t148.jpg
"a close up of a ruler with a number on it",downloaded_image_t149.jpg
"arafed graph of the number of people who have been reported on social media",downloaded_image_t150.jpg
"there are a lot of different toy airplanes and a bus",downloaded_image_t152.jpg
"there are two small toy motorcycles that are on a table",downloaded_image_t156.jpg
"a diagram of a triangle with three intersecting sides and a line of symmetry",downloaded_image_t158.jpg
"a circle with a center and a center at the end of it",downloaded_image_t159.jpg
"a table with a number of taxes and taxes on it",downloaded_image_t161.jpg
"a close up of a pencil and ruler with a number",downloaded_image_t162.jpg
"there are many different colored bicycles and a bus on the table",downloaded_image_t163.jpg
"a triangle with three sides and three sides that are congructed",downloaded_image_t164.jpg
"a picture of a picture of a number line with hearts and arrows",downloaded_image_t165.jpg
"there are three balls and a cube on a table",downloaded_image_t168.jpg
"skier in red jacket skiing down a snowy slope with trees in the background",downloaded_image_t170.jpg
"arafed photo of two children sitting on a chair in a room",downloaded_image_t171.jpg
"a close up of a graph with a curve on a black background",downloaded_image_t172.jpg
"a diagram of a plot with a line of dots and a line of dots",downloaded_image_t173.jpg
"a diagram of a curve with a line of different colors",downloaded_image_t174.jpg
"a close up of a clock with a different time zones",downloaded_image_t175.jpg
"a diagram of a triangle with three intersecting lines and a line that is parallel to the other",downloaded_image_t176.jpg
"three men in suits and ties standing next to each other",downloaded_image_t179.jpg
"a close up of a pie chart with different colors of the pie",downloaded_image_t180.jpg
"a purple rectangular frame with a purple border",downloaded_image_t181.jpg
"a circle with a center and a center on a coordinate",downloaded_image_t182.jpg
"there are five different colored boxes and one green one blue and one yellow",downloaded_image_t183.jpg
"a graph showing the number of people who have been paid by the internet",downloaded_image_t184.jpg
"they are sitting in a red car with a man and woman",downloaded_image_t185.jpg
"they are two men in white shirts and bow ties giving thumbs up",downloaded_image_t186.jpg
"a close up of a purple and white striped pattern with a black border",downloaded_image_t187.jpg
"a close up of a bar chart with a number of bars",downloaded_image_t189.jpg
"a diagram of a triangle with a side angle and a side angle",downloaded_image_t195.jpg
"a picture of a triangle with a side of a triangle and a side of a triangle with a",downloaded_image_t197.jpg
"a diagram of a line graph with a line graph of a bar graph",downloaded_image_t198.jpg
"there are three different colored objects on a white surface",downloaded_image_t199.jpg
"there are two men standing next to each other in a room",downloaded_image_t1100.jpg
"a diagram of a triangle with a side of a triangle and a side of a triangle",downloaded_image_t1101.jpg
"a diagram of a bar chart with data and data in it",downloaded_image_t1102.jpg
"a table with a number of running miles and a number of miles",downloaded_image_t1104.jpg
"a diagram of a bar chart with different types of work drawn",downloaded_image_t1105.jpg
"a chart showing the percentage of people who are using social media",downloaded_image_t1107.jpg
"there are many different types of toys on the table",downloaded_image_t1108.jpg
"a close up of a pie chart with a number of different colors",downloaded_image_t1109.jpg
"a graph showing the number of students in each class of the school",downloaded_image_t1110.jpg
"a close up of a ruler with a plant growing on it",downloaded_image_t1111.jpg
"a drawing of a triangle with three intersectings and a line of three intersectings",downloaded_image_t1112.jpg
"a close up of a pie chart with different colors of pie",downloaded_image_t1113.jpg
"a chart of a bar chart with a number of different types of ice cream",downloaded_image_t1114.jpg
"a circle with a triangle and a point on the center",downloaded_image_t1116.jpg
"a screenshot of a computer screen showing a graphing function",downloaded_image_t1117.jpg
"arafed bar chart showing the percentage of people who are using social media",downloaded_image_t1118.jpg
"a close up of a table with a number of newspapers",downloaded_image_t1120.jpg
"a screenshot of a bar chart showing the percentage of people who are paying for a new apartment",downloaded_image_t1121.jpg
"ducks and geese are walking along the side of a river",downloaded_image_t1123.jpg
"a box with a square and a rectangle on it",downloaded_image_t1124.jpg
"arafed living room with a couch, chair, table, and lamp",downloaded_image_t1125.jpg
"arafed curve of a line with a blue line going down it",downloaded_image_t1127.jpg
"there are several different colored objects on a white surface",downloaded_image_t1128.jpg
"a chart showing the number of commercial banks in the united states",downloaded_image_t1129.jpg
"a picture of a graph with a line that has a point on it",downloaded_image_t1130.jpg
"a close up of a table with a number of signs",downloaded_image_t1131.jpg
"a table with a price list for zoo tickets and a price list for a ticket",downloaded_image_t1132.jpg
"a drawing of a triangle with three intersecting sides and a line of three intersecting sides",downloaded_image_t1133.jpg
"there are many different types of toys that are on the table",downloaded_image_t1134.jpg
"an old black and white photo of a man and woman standing next to each other",downloaded_image_t1135.jpg
"there are three toy vehicles and a bus on a table",downloaded_image_t1136.jpg
"a picture of a number of squares with pink and blue shapes",downloaded_image_t1137.jpg
"there are two different colored objects on a white surface",downloaded_image_t1138.jpg
"there are two different colored objects on the floor next to each other",downloaded_image_t1141.jpg
"a close up of a table with a number of items on it",downloaded_image_t1142.jpg
"a table with prices of cars and bikes for ferry fares",downloaded_image_t1143.jpg
"a close up of a bar chart with a number of people",downloaded_image_t1145.jpg
"arafed image of a man and woman dancing in a black and white photo",downloaded_image_t1146.jpg
"a close up of a circle with the center and the middle of it",downloaded_image_t1147.jpg
"there is a man sleeping in bed with a cat on the side",downloaded_image_t1149.jpg
"there are many toy cars and a toy plane on a table",downloaded_image_t1150.jpg
"there are three different colored objects on a white surface",downloaded_image_t1151.jpg
"a close up of a graph with a line graph on it",downloaded_image_t1153.jpg
"two men in suits sitting at a table with flags behind them",downloaded_image_t1154.jpg
"a picture of a diagram of a square with a right triangle",downloaded_image_t1157.jpg
"there is a toy bus and a bicycle next to a box",downloaded_image_t1159.jpg
"a triangle with a side angle and a side angle of the triangle",downloaded_image_t1160.jpg
"a chart of the percentage of people who are preferred objects in the past",downloaded_image_t1162.jpg
"there are many different toys that are on the table",downloaded_image_t1163.jpg
"a graph of average temperature in cape town, south africa",downloaded_image_t1164.jpg
"there are four different colored objects on a white surface",downloaded_image_t1165.jpg
"there are three different colored objects on a white surface",downloaded_image_t1166.jpg
"arafed family sitting at a table with plates of food",downloaded_image_t1167.jpg
"a diagram of a bird, rabbit, and grasshoppers life cycle",downloaded_image_t1168.jpg
"a diagram of a triangle with three sides and three angles",downloaded_image_t1169.jpg
"there are many different colored objects on a white surface",downloaded_image_t1170.jpg
"a close up of a pie chart with different colors of pie",downloaded_image_t1171.jpg
"there are three different colored objects sitting on a white surface",downloaded_image_t1172.jpg
"a diagram of a circle with a center and a center at the end",downloaded_image_t1174.jpg
"a diagram of the life cycle of a frog",downloaded_image_t1175.jpg
"a diagram of a straight line with a right angle and a right angle",downloaded_image_t1178.jpg
"a chart of the percentage of people who are in the dark",downloaded_image_t1180.jpg
"mountains in the distance with a body of water in the foreground",downloaded_image_t1182.jpg
"a diagram of a curve with a slope and a point at the end",downloaded_image_t1183.jpg
"a drawing of a triangle with two circles on it",downloaded_image_t1184.jpg
"a close up of a ruler with a screw on it",downloaded_image_t1185.jpg
"a graph showing the average number of children who received treatment for diabetes",downloaded_image_t1186.jpg
"a close up of a clock with a pink frame and numbers",downloaded_image_t1187.jpg
"a close up of a ruler with a number on it",downloaded_image_t1188.jpg
"a diagram of a fish shark and a fish shark",downloaded_image_t1189.jpg
"a chart showing the number of people who are using social media",downloaded_image_t1190.jpg
"there are two cubes and a ball on a table",downloaded_image_t1191.jpg
"a table with a number of schools in each town",downloaded_image_t1192.jpg
"there are three balls and a cube on a table",downloaded_image_t1193.jpg
"two men standing next to each other holding a football",downloaded_image_t1194.jpg
"a close up of a pie chart with different colors of pie",downloaded_image_t1195.jpg
"a graphing function of a line with a slope and a point on it",downloaded_image_t1196.jpg
"a close up of a table with a number of items on it",downloaded_image_t1198.jpg
"a picture shows a circle with a point on the side and a line of sight on the other",downloaded_image_t1199.jpg
"a close up of a ruler with a wooden handle on a white background",downloaded_image_t1200.jpg
"there are three balls of different colors on a white surface",downloaded_image_t1202.jpg
"a table with a list of the different types of food",downloaded_image_t1203.jpg
"a diagram of a triangle with a point at the end of it",downloaded_image_t1204.jpg
"a graph showing the number of objects in a room that are not in use",downloaded_image_t1205.jpg
"a triangle with a side of a triangle and a side of a triangle with a side of a",downloaded_image_t1206.jpg
"a close up of a ruler with a plant growing on it",downloaded_image_t1208.jpg
"a close up of a clock with a green frame and numbers",downloaded_image_t1210.jpg
"there are many different colored balls and cubes on the table",downloaded_image_t1211.jpg
"arafed image of a group of different colored objects on a white surface",downloaded_image_t1212.jpg
"a close up of a row of orange bookshelves with a white background",downloaded_image_t1214.jpg
"a drawing of a grasshopper cycle with a few insects",downloaded_image_t1215.jpg
"there are many different colored objects on a white surface",downloaded_image_t1217.jpg
"a chart of the number of students who have completed a math test",downloaded_image_t1218.jpg
"a triangle with a side of",downloaded_image_t1219.jpg
"a chart showing the percentage of people who are paying for a government",downloaded_image_t1220.jpg
"a diagram of a food web with a dog, a cat, a chicken, a banana,",downloaded_image_t1221.jpg
"a diagram of a bar chart with the most preferred objects of different categoriess",downloaded_image_t1222.jpg
"a plot of a line that is going through a curve",downloaded_image_t1225.jpg
"arafed map of the united states with the highest health coverage",downloaded_image_t1226.jpg
"a close up of a clock with a purple frame and numbers",downloaded_image_t1227.jpg
"two men shaking hands in front of a large screen with flags",downloaded_image_t1228.jpg
"arafed photo of a group of wrestlers posing for a picture",downloaded_image_t1229.jpg
"there are two different colored objects on a white surface",downloaded_image_t1230.jpg
"a diagram of a triangle with three intersecting sides and three intersecting sides",downloaded_image_t1231.jpg
"a diagram of the solar system with the planets and their sun",downloaded_image_t1233.jpg
"a diagram of a square with a right triangle and a right triangle",downloaded_image_t1237.jpg
"arafed president obama speaking at a podium with two women and a man",downloaded_image_t1238.jpg
"two men in suits shaking hands in a room with a gold statue",downloaded_image_t1239.jpg
"there are three different types of toy airplanes and a bus",downloaded_image_t1240.jpg
"there are three different colored balls and a blue cylinder on a table",downloaded_image_t1241.jpg
"there are three different colored objects on a white surface",downloaded_image_t1242.jpg
"arafed graph of the number of people who have been reported in the united states",downloaded_image_t1243.jpg
"a triangle with a side angle of",downloaded_image_t1247.jpg
"a chart of the number of different types of gold in different countries",downloaded_image_t1248.jpg
"a diagram of a food web with various animals and plants",downloaded_image_t1251.jpg
"a close up of a row of christmas lights with a white background",downloaded_image_t1257.jpg
"there are three toy cars and a bus on a white surface",downloaded_image_t1260.jpg
"there are several different colored objects on a white surface",downloaded_image_t1261.jpg
"a diagram of a triangle with three intersecting sides and a line of intersection",downloaded_image_t1262.jpg
"a graphing curve with a blue line going up the side",downloaded_image_t1263.jpg
