,description
0,"diagram of a spring force does negative work, decreasing speed and kinetic energy"
1,there is a bowl of flour and eggs on a cutting board
2,a drawing of a triangle with three intersecting sides
3,there are three different colored objects on a white surface
4,a picture of a diagram of a right triangle with a right angle
5,a black and white photo of a number of letters on a line
6,a close up of a clock with a purple background and a white face
7,there are many different types of toys that are on the table
8,a picture of a box with a letter a and a box with a letter b
9,a close up of a cell phone with a number of letters
10,there are many different colored objects arranged in a circle
11,there is a bike and a kite flying in the air
12,arafed graph of different types of objects in different groups
13,there are many toy cars and a car on the table
14,a diagram of a water cycle with different types of water
15,a diagram of sales statistics for items in different stores
16,a picture of a triangle with a side angle of a triangle
17,skier in red jacket skiing down a snowy slope with trees in the background
18,there is a beaker with a red liquid in it
19,a chart showing the percentage of students who are currently in the government
20,two circles with blue dots are shown in the middle of a white background
21,arafed image of a man and two women standing next to each other
22,a graphing line with a point on the center and a line at the bottom
23,a graph showing the number of people who are using the internet
24,a diagram of a line graph with a line of data on it
25,a chart of the number of different colors of ink in different colors
26,two men in suits are holding a book and a microphone
27,a picture shows a circle with a line of intersection and a point of intersection
28,two stained glass windows with a couple of men holding a sword
29,a circle with four intersecting segments and a central angle
30,there are many different toy vehicles and a car on the table
31,a diagram of a triangle with a side angle of a triangle
32,a drawing of a cone with a face and a line of a cone
33,a graphing line with a red dot and a line with a black dot
34,a circle with four intersecting segments and a central angle
35,two men shaking hands in front of flags and a sign
36,a graphing function of a line with a point on the center
37,a graph showing the number of different types of tiles
38,a graphing curve with a blue arrow and a blue arrow pointing upward to the y - y
39,there are many different colored cubes and containers on a table
40,two men in suits shaking hands in front of flags
41,a close up of a person hugging a person in a white shirt
42,a graph showing the average time of a church in new zealand
43,a close up of a table with a number of different types of beads
44,a table with a number of dates and times for each month
45,arafed diagram of life cycle of a spider
46,there are many different colored objects on a white surface
47,a picture of a square with a right angle and a right angle
48,three young men standing next to each other in front of a wall
49,a diagram of a fish life cycle with different types of fish
50,there are many different types of toys and objects on the table
51,a close up of a group of different colored objects on a table
52,there are two people standing next to each other in a room
53,a picture of a number line with a number of digits on it
54,a picture of a triangle with three sides and three angles
55,a diagram of a square with two sides and one side divided
56,there are three different colored balls and a cube on a table
57,a graph of a line graph with a red dot and a yellow dot
58,a diagram of a circle with a center and a center at the end
59,arafed image of a man and woman in a dress
60,a diagram of a line graph with a purple dot and a red dot
61,a diagram of a square with four intersecting sides and four intersecting sides
62,there are many different colored balls and cubes on the table
63,a diagram of a jar with a lot of different colored dots
64,a graphing function of a curve with a red line
65,a diagram of a number of different types of umbrellas
66,a green square with four sides and four sides
67,a diagram of a triangle with a line of intersection and a point of intersection
68,there are many different colored balls and cubes on a table
69,arafed black and white photo of a man and woman sitting on a bench
70,a diagram of a square with the height of the area of the square
71,a table with a number of houses per block and a number of leaves
72,a diagram of a computer system with a number of different symbols
73,a chart of percentage of people who are using their computer
74,a close up of a pie chart with different colors of pie
75,a diagram of the food chain of a fish and other animals
76,a screenshot of a graph showing the number of people who are using social media
77,a picture of a number line with a question mark on it
78,a circle with a center and a center inscribed in it
79,a diagram of a sea life cycle with different animals and fish
80,a close up of a polar chart with a circle on the center
81,a black and white image of a circle with a dot in it
82,there are three different colored toy vehicles and a motorcycle
83,a diagram of a circle with a center and a center with a center and a center with a
84,a chart of average workers working in women's aged and older
85,a diagram of a line graph with a line graph of a person and a line of data
86,a table with prices of different items and prices of each item
87,a picture of a square is tangent to a line at point p in the figure
88,cars and buses driving down a city street with lots of traffic
89,there are three cups and a ball on the table
90,there are many different colored toys that are on the table
91,there is a large window that looks out onto a city
92,a screenshot of a bar chart showing the number of people who are using the internet
93,a triangle with three sides and three sides that are congructed
94,a diagram of a line with three intersectings and three intersectings
95,a chart of the percentage of people who are disaffified in the district
96,a diagram of a bar graph with different algorithmss
97,a picture of a picture of a number of different shapes
98,cartoon of a woman in a living room with a cat and a window
99,a diagram of a bar chart with a number of different types of toilet
100,a drawing of a diagram of different types of leaves
101,a picture of a square with four squares in it
102,there are two balls and a cube on a table
103,several women standing on a sidewalk with umbrellas in the rain
104,a diagram of a line graph with a bar chart of different colors
105,a chart of a bar chart with the number of values in each column
106,a close up of a clock with a green frame and numbers
107,arafed graph of the number of students who have been selected as a teacher
108,there are many different colored objects on a white surface
109,a chart showing the number of deaths from natural disasters as a share of deads
110,there are many different colored objects on a white surface
111,there are a lot of different toy airplanes and a bus
112,a close up of a bucket of baseballs with a few balls in it
113,a diagram of a circle with a point at the center and a line at the end
114,there are two soccer players on the field playing soccer
115,a close up of a leaf diagram with different leaves
116,a drawing of a triangle with a line going through it
117,a diagram of a curve with a line of data on it
118,a diagram of a circle with a center and a point at the end
119,a graphing plot with a curve and two numbers on it
120,a table with a number of items on it and a price list
121,there are three different types of toys that are on the table
122,a close up of a number of cubes with a number of smaller ones
123,"a drawing of a leaf and a flower with the words,'apopie, apop"
124,a diagram of the food chain of a fish and other animals
125,three people in costumes are posing for a picture
126,a diagram of a bar chart with different algorithmss
127,there are several different colored objects on a white surface
128,a close up of a ruler with a plant growing on it
129,arafed woman in a dress and a man in a uniform stand near a table
130,a screenshot of a bar chart showing the number of people who are using social media
131,a triangle with three sides and three sides that are drawn in a line
132,a diagram of a line graph with a green dot and a purple dot
133,there is a man that is standing at a table with a laptop
134,there are two toy airplanes that are on the table
135,a chart showing the percentage of cell phones used by the us government
136,"a graphing function of a line with a slope of 3, 3 and a point of 3"
137,there is a sandwich with meat and cheese on it on a piece of paper
138,a diagram of a graph with a line of different colors
139,there are a lot of food on the table and a cup of soup
140,a drawing of a triangle with a line drawn in it
141,there is a pizza on a plate on a table
142,a diagram of a triangle with three sides and three sides
143,"a table with a number of items for a meal including a pepper, cumin, turm"
144,a picture of a picture of a missing item in a game
145,a table with a number of science articles on it
146,a diagram of a jar with a lot of different colored dots
147,a drawing of a line of different types of leaf faces
148,a diagram of a triangle with two angles and one side
149,a drawing of a circle with a triangle and a point on it
150,a diagram of a triangular structure with a line of symmetry
151,a diagram of a triangle with a point at the top and a line at the bottom
152,"a close up of a drawing of a bird, a mouse, and a bird"
153,a graphing curve with a green line going up to the right
154,a chart of the number of web green index in the us
155,a graphing function of a function that is not a function
156,a close up of a blue and white background with a number of squares
157,arafed couple laying on the grass in the shade
158,a graph showing the number of people in a business setting
159,a picture showing the side of a triangle with the missing side
160,arafed bus on a flatbed on a highway with a cloudy sky
161,a table with numbers and symbols for birds per flock
162,a close up of a green and white background with a number of squares
163,a diagram of a triangle with three sides and three sides
164,there are many different colored objects on a white surface
165,a close up of two different types of shapes and numbers
166,a graphing function of a curve with a blue line
167,a picture of a circle with a letter and a symbol in the middle
168,a graph showing the number of different types of business items sold by business
169,a diagram of a curve with a line of data on it
170,two plates with different types of pastries on them
171,a chart of the number of people who are in the world
172,there are many different types of toys that are on the table
173,there are a few toy cars and a bicycle on a table
174,a diagram of a bar chart with different data types
175,a triangle with the sides of two triangles and the sides of two triangles
176,there are many different toy vehicles and a bicycle on the table
177,a picture of a triangle with three sides and three sides
178,a drawing of a triangle with three sides and three sides
179,there are many different colored objects on a white surface
180,a picture of a picture of a pattern with different shapes
181,a diagram of a graph with a line of data and a line of data
182,there are three balls and three cubes on a white surface
183,a diagram of a bar chart with a purple square in the middle
184,a diagram of a figure with two different angles and one side of the figure
185,a diagram of a beam with a line of force and a point of view
186,a close up of a green and white computer screen with a number of squares
187,a table with a number of different types of calculations
188,a diagram of a bar chart with different datas and data
189,a close up of a ruler with a screw on it
190,a graph showing the number of people in a country with a population
191,a circle with a center and a center inscribed in it
192,there are several different colored objects on a white surface
193,there is a green bus driving down the road on a cloudy day
194,a circle with four intersecting segments and a center with four intersecting segments
195,"a triangle with three sides and three sides with the letters a, b, c, and d"
196,a chart of a bar chart with a number of columns
197,a set of four triangles with numbers on them
198,a diagram of a cylindrical cylinder with a hole in the middle
199,a graph showing the average and median of a person
200,a diagram of a block with a number of blocks on it
201,a diagram of a bar chart with a number of columns
202,a diagram of a square with a diagonal and a line of reflection
203,arafed room with stained glass windows and a fireplace
204,a table with a baseball score and a baseball score
205,a diagram of a square and a rectangle with a line of symmetry
206,a diagram of a bar graph with different algorithms
207,arafed woman in a black suit and a man in a white shirt and a woman in
208,a graph showing the number of people who are using twitter
209,a black and white photo of three women posing for a picture
210,a diagram of a bar chart with a few different algorithmss
211,a graph showing the average and maximum size of a blue and white box
212,a graph showing the number of people who have visited the internet
213,a graph showing the number of people who have been reported in the past
214,a table with a number of miles hiked days
215,a chart of the number of different objects in the picture
216,a graphing plot of a curve with a line of equal
217,there are three cubes that are sitting on a table
218,a graph showing the number of different types of items in a bar chart
219,a circle with a triangle and a point on the side
220,a circle with a point at the center and a line at the end
221,there are three different colored objects on a white surface
222,a graphed line with a point on the center and a line with a point on the end
223,a graphing curve with a green line going up to the right
